fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1933-01-14,2,2,1970-01-01 00:00:00.000001930,0
1933-01-20,1,1,1970-01-01 00:00:00.000001930,0
1933-01-20,1,1,1970-01-01 00:00:00.000001930,0
1933-01-24,3,2,1970-01-01 00:00:00.000001930,1
1933-11-03,2,2,1970-01-01 00:00:00.000001930,0
1933-03-25,3,3,1970-01-01 00:00:00.000001930,0
1933-03-28,15,15,1970-01-01 00:00:00.000001930,0
1933-03-04,2,1,1970-01-01 00:00:00.000001930,1
1933-04-04,76,73,1970-01-01 00:00:00.000001930,3
1933-04-23,8,5,1970-01-01 00:00:00.000001930,3
1933-04-29,4,4,1970-01-01 00:00:00.000001930,0
1933-09-05,6,6,1970-01-01 00:00:00.000001930,0
1933-04-06,1,1,1970-01-01 00:00:00.000001930,0
1933-11-06,9,9,1970-01-01 00:00:00.000001930,0
1933-07-18,6,6,1970-01-01 00:00:00.000001930,0
1933-08-29,5,5,1970-01-01 00:00:00.000001930,0
1933-12-09,8,8,1970-01-01 00:00:00.000001930,0
1933-10-10,10,10,1970-01-01 00:00:00.000001930,0
1933-10-31,5,2,1970-01-01 00:00:00.000001930,3
1933-09-11,10,4,1970-01-01 00:00:00.000001930,6
1933-10-11,1,0,1970-01-01 00:00:00.000001930,1
1933-11-20,8,8,1970-01-01 00:00:00.000001930,0
1933-11-21,20,14,1970-01-01 00:00:00.000001930,6
1933-11-24,2,2,1970-01-01 00:00:00.000001930,0
1933-11-12,10,6,1970-01-01 00:00:00.000001930,4
1933-12-14,6,5,1970-01-01 00:00:00.000001930,1
1933-12-30,10,10,1970-01-01 00:00:00.000001930,0
1934-01-15,14,14,1970-01-01 00:00:00.000001930,0
1934-01-20,2,2,1970-01-01 00:00:00.000001930,0
1934-02-23,8,8,1970-01-01 00:00:00.000001930,0
1934-02-26,6,1,1970-01-01 00:00:00.000001930,5
1934-06-03,4,4,1970-01-01 00:00:00.000001930,0
1934-10-03,6,5,1970-01-01 00:00:00.000001930,1
1934-03-22,15,3,1970-01-01 00:00:00.000001930,12
1934-10-04,3,3,1970-01-01 00:00:00.000001930,0
1934-09-05,6,6,1970-01-01 00:00:00.000001930,0
1934-05-31,2,2,1970-01-01 00:00:00.000001930,0
1934-09-06,7,7,1970-01-01 00:00:00.000001930,0
1934-11-06,10,6,1970-01-01 00:00:00.000001930,4
1934-06-22,7,1,1970-01-01 00:00:00.000001930,6
1934-06-23,1,1,1970-01-01 00:00:00.000001930,0
1934-09-07,4,3,1970-01-01 00:00:00.000001930,1
1934-07-27,12,12,1970-01-01 00:00:00.000001930,0
1934-05-08,2,2,1970-01-01 00:00:00.000001930,0
1934-10-08,1,1,1970-01-01 00:00:00.000001930,0
1934-08-31,5,5,1970-01-01 00:00:00.000001930,0
1934-02-10,7,7,1970-01-01 00:00:00.000001930,0
1934-03-10,3,3,1970-01-01 00:00:00.000001930,0
1934-10-19,11,11,1970-01-01 00:00:00.000001930,0
1934-02-11,4,2,1970-01-01 00:00:00.000001930,2
1934-11-15,2,2,1970-01-01 00:00:00.000001930,0
1934-11-15,4,4,1970-01-01 00:00:00.000001930,0
